"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","16","490-7229-1-ND","GRM033R60J105MEA2D","CAP CER 1UF 6.3V X5R 0201","","16","0","0.01400","0.22"
"2","2","490-8607-1-ND","GRM0335C1E100JA01D","CAP CER 10PF 25V C0G/NP0 0201","","2","0","0.10000","0.20"
"3","1","399-C0402C335M7PACTUCT-ND","C0402C335M7PACTU","CAP CER 3.3UF 4V X5R 0402","","1","0","0.50000","0.50"
"4","3","P122936CT-ND","ERJ-1GNF3300C","RES SMD 330 OHM 1% 1/20W 0201","","3","0","0.10000","0.30"
"5","1","P123338CT-ND","ERJ-1GNJ510C","RES SMD 51 OHM 5% 1/20W 0201","","1","0","0.10000","0.10"
"6","1","P122414CT-ND","ERJ-1GNF1002C","RES SMD 10K OHM 1% 1/20W 0201","","1","0","0.10000","0.10"
"7","1","P122413CT-ND","ERJ-1GNF1001C","RES SMD 1K OHM 1% 1/20W 0201","","1","0","0.10000","0.10"
"8","1","90-UHD111A-FKA-C3K23E1L3VG5ZB3Z3-ND","UHD111A-FKA-C3K23E1L3VG5ZB3Z3","LED RGB 0404 SMD","","1","0","0.10000","0.10"
"9","1","220-2212-1-ND","ICE40UP5K-SG48I","IC FPGA 39 I/O 48QFN","","1","0","10.10000","10.10"
"10","1","1965-ESP32-S2FH4CT-ND","ESP32-S2FH4","RF TXRX MODULE WIFI SMD","","1","0","1.48000","1.48"
"11","1","296-27438-1-ND","TLV70012DCKR","IC REG LINEAR 1.2V 200MA SC70-5","","1","0","0.22000","0.22"
"12","1","296-27793-1-ND","TLV70025DCKR","IC REG LINEAR 2.5V 200MA SC70-5","","1","0","0.21000","0.21"
"13","1","50-ECS-400-10-37B2-CKY-TRCT-ND","ECS-400-10-37B2-CKY-TR","CRYSTAL 40.0000MHZ 10PF SMD","","1","0","0.38000","0.38"
"14","1","P16763CT-ND","EVQ-P7A01P","SWITCH TACTILE SPST-NO 0.05A 12V","","1","0","0.33000","0.33"
"15","1","WM6357CT-ND","1040310811","CONN MICRO SD CARD PUSH-PULL R/A","","1","0","2.30000","2.30"
